,Team,Low Value,Mid Value,High Value,Color
0,BAL,31.86,52.19,72.52,#241773
1,SF,25.36,38.38,51.4,#AA0000
2,BUF,4.34,21.63,38.92,#00338D
3,DAL,6.79,20.98,35.17,#041E42
4,MIA,-0.03,16.9,33.83,#008E97
5,KC,2.31,12.67,23.03,#E31837
6,DET,-2.55,12.02,26.59,#0076B6
7,PIT,-8.8,8.83,26.46,#FFB612
8,CIN,-10.63,8.32,27.27,#FB4F14
9,LV,-5.18,7.37,19.92,#000000
10,CHI,-6.53,6.68,19.89,#0B162A
11,GB,-12.29,5.27,22.83,#203731
12,CLE,-12.98,4.07,21.12,#311D00
13,NO,-8.17,3.26,14.69,#A08A58
14,TB,-15.89,1.82,19.53,#D50A0A
15,LAR,-9.34,1.76,12.86,#002244
16,JAX,-15.43,1.21,17.85,#006778
17,HOU,-15.56,0.89,17.34,#03202F
18,SEA,-7.86,-2.68,2.5,#002244
19,DEN,-15.78,-4.49,6.8,#FB4F14
20,PHI,-20.25,-6.64,6.97,#014A53
21,IND,-21.21,-7.4,6.41,#003D79
22,LAC,-18.86,-8.43,2.0,#0080C6
23,NYJ,-27.61,-10.44,6.73,#125740
24,MIN,-17.9,-10.55,-3.2,#4F2683
25,TEN,-24.57,-13.5,-2.43,#4095D1
26,NYG,-33.36,-15.18,3.0,#0B2265
27,ATL,-27.28,-15.24,-3.2,#A71930
28,NE,-32.29,-17.79,-3.29,#002244
29,ARI,-37.94,-22.18,-6.42,#97233F
30,WAS,-42.35,-34.15,-25.95,#773141
31,CAR,-38.49,-34.74,-30.99,#0085CA
